(u'syzns', 0.07244354809228246)
(u'astmere', 0.02646649532177064)
(u'_PEDALLING', 0.01526913191640614)
(u'jiaxinnjudd', 0.012554619575711716)
(u'seesseizeseac', 0.012215305533124911)
(u'_Kimozaku', 0.011706334469244708)
(u'shashashafique', 0.010009764256310692)
(u'CottonCrumble', 0.009670450213723888)
(u'LOLISANDLOLITAS', 0.00661662383044266)
(u'hereisjoey', 0.004580739574921842)
(u'_NotSam', 0.00441108255362844)
(u'cuz', 0.004241425532335039)
(u'LOLOL', 0.0033931404258680307)
(u'blogilates', 0.0027145123406944246)
(u'TT', 0.0025448553194010234)
(u'chouwonderful', 0.0023751982981076217)
(u'___ememelia', 0.0023751982981076217)
(u'makoto', 0.00220554127681422)
(u'RIN', 0.0020358842555208184)
(u'OMFG', 0.0020159478714544435)
(u'curlymonstah', 0.001866227234227417)
(u'pawsoffmyrice', 0.001866227234227417)
(u'sjshyx', 0.0016965702129340154)
(u'LOLLL', 0.001526913191640614)
(u'XinyiSharon', 0.0013572561703472123)
(u'IDK', 0.0013572561703472123)
(u'ITS', 0.0012142045630726237)
(u'^_^', 0.0011875991490538109)
(u'MAKOHARU', 0.0011875991490538109)
(u'CUZ', 0.0011875991490538109)
(u"N'T", 0.0011332575922011153)
(u'DO', 0.0011235807524549658)
(u'HIS', 0.001067266520181764)
(u'nak', 0.0010179421277604092)
(u'YY', 0.0010179421277604092)
(u'LOLLLL', 0.0010179421277604092)
(u'FREE', 0.0010179421277604092)
(u'WHY', 0.0009703651953020159)
(u'DONE', 0.0009703651953020159)
(u'LIKE', 0.0009703651953020159)
(u'ship', 0.0008904166795865906)
(u'baking', 0.0008482851064670077)
(u'BLESS', 0.0008482851064670077)
(u'makoharu', 0.0008482851064670077)
(u'damned', 0.0008482851064670077)
(u'_', 0.0008482851064670077)
(u'TAKA', 0.0008482851064670077)
(u'MAKOTO', 0.0008482851064670077)
(u'HES', 0.0008482851064670077)
(u'WANTED', 0.0008482851064670077)
(u'oneofthefiveW', 0.0008482851064670077)
(u'figures', 0.0008482851064670077)
(u'gutsnstuff', 0.0008482851064670077)
(u'cookies', 0.0008300961823635943)
(u'^', 0.0008300961823635943)
(u'HOLY', 0.0008300961823635943)
(u'SHIT', 0.0007660777857647495)
(u'CB', 0.0007660777857647495)
(u'OH', 0.0007660777857647495)
(u'AM', 0.0007285227378435741)
(u'FUCKING', 0.0007150059333804327)
(u'DAY', 0.0007150059333804327)
(u'50', 0.0007115110134545094)
(u'tumblr', 0.0007115110134545094)
(u'THO', 0.0007115110134545094)
(u'DROP', 0.0006786280851736061)
(u'BABIES', 0.0006786280851736061)
(u'denkimouse', 0.0006786280851736061)
