(u'Desssmoond', 0.01259655191846932)
(u'cleosim', 0.0064597702145996515)
(u'Tateer_', 0.0035528736180298085)
(u'That_Lazy', 0.0035528736180298085)
(u'_j_o_r_d_o_n_', 0.0032298851072998258)
(u'NatashaNiza_', 0.0032298851072998258)
(u'qien123', 0.002906896596569843)
(u'BearXDXD', 0.002906896596569843)
(u'07marh', 0.002583908085839861)
(u'arghh', 0.002583908085839861)
(u'Wellington', 0.002583908085839861)
(u'zzz', 0.0023335015196294974)
(u'Ms_vibrator', 0.0022609195751098782)
(u'LynetteTan__', 0.0019379310643798957)
(u'owen_soh', 0.0019379310643798957)
(u'_sleepinq', 0.0016149425536499129)
(u'wnat', 0.0016149425536499129)
(u'arghhh', 0.0016149425536499129)
(u'adam_adenan', 0.0016149425536499129)
(u'sunnygannn', 0.0016149425536499129)
(u'snap', 0.0016149425536499129)
(u'JackSoSienz', 0.0016149425536499129)
(u'bryancwx', 0.0016149425536499129)
(u'Boring', 0.0015803149652179411)
(u'boring', 0.0015556676797529984)
(u'uh', 0.0014584384497684357)
(u'Hate', 0.0013612092197838736)
(u'173cmtall', 0.0012919540429199305)
(u'viviminaji', 0.0012919540429199305)
(u'_x_alexithymia', 0.0012919540429199305)
(u'\U0001f638', 0.0012919540429199305)
(u'wweilinxx', 0.0012919540429199305)
(u'Daniel', 0.0012919540429199305)
(u'ehh', 0.0012919540429199305)
(u'hmk', 0.0012919540429199305)
(u'gtfo', 0.0012919540429199305)
(u'venusomfg_', 0.0012919540429199305)
(u'sanitarypadz', 0.0012919540429199305)
(u'\U0001f60c', 0.0011667507598147487)
(u'ezlink', 0.0011287964037271008)
(u'jealousy', 0.0011287964037271008)
(u'\xbf', 0.0011287964037271008)
(u'Dm', 0.0011287964037271008)
(u'donut', 0.0010787327844966712)
(u'updated', 0.0009689655321899478)
(u'Tiring', 0.0009689655321899478)
(u'cleo', 0.0009689655321899478)
(u'fattyboyyeo', 0.0009689655321899478)
(u'\U0001f44c\U0001f44c', 0.0009689655321899478)
(u'wxlfboy', 0.0009689655321899478)
(u'\U0001f627', 0.0009689655321899478)
(u'Urge', 0.0009689655321899478)
(u'TheDeeKosh', 0.0009689655321899478)
(u'waitmeleh', 0.0009689655321899478)
(u'azrasyzyh', 0.0009689655321899478)
(u'Ruin', 0.0009689655321899478)
(u'skullspiration', 0.0009689655321899478)
(u'Wnat', 0.0009689655321899478)
(u'sgp', 0.0009689655321899478)
(u'nbcb', 0.0009689655321899478)
(u'Arghh', 0.0009689655321899478)
(u'nigga', 0.0009689655321899478)
(u'retweet', 0.0009246281009971468)
(u'fcuked', 0.0009030371229816807)
(u'Better', 0.0009030371229816807)
(u'yah', 0.0009030371229816807)
(u'mssanitarypad', 0.0009030371229816807)
(u'Kk', 0.0009030371229816807)
(u'\U0001f44c', 0.0007778338398764992)
(u'Craving', 0.0007778338398764992)
(u'Cold', 0.0007705234174976223)
(u'promise', 0.0007705234174976223)
(u'zzzz', 0.0006806046098919368)
(u'ahead', 0.0006806046098919368)
(u'iPhone', 0.0006806046098919368)
(u'tbh', 0.0006806046098919368)
(u'hrs', 0.0006772778422362604)
(u'SexyKiss3s_', 0.0006772778422362604)
(u'\U0001f47c', 0.0006772778422362604)
(u'gtg', 0.0006772778422362604)
(u'pill', 0.0006772778422362604)
(u'undone', 0.0006772778422362604)
(u'Help', 0.0006772778422362604)
(u'Hello', 0.0006772778422362604)
(u'meaning', 0.0006772778422362604)
(u'cupcakes', 0.0006772778422362604)
(u'Bruh', 0.0006772778422362604)
(u'lavender', 0.0006459770214599653)
(u'\U0001f62b\U0001f62b', 0.0006459770214599653)
(u'huili', 0.0006459770214599653)
(u'Le', 0.0006459770214599653)
(u'unsaid', 0.0006459770214599653)
(u'_LudwigVan_', 0.0006459770214599653)
(u'fair', 0.0006459770214599653)
(u'conch', 0.0006459770214599653)
(u'LeonBoiBoy', 0.0006459770214599653)
(u'ahbengsiao', 0.0006459770214599653)
(u'\U0001f38a\U0001f389\U0001f381', 0.0006459770214599653)
(u'acidic_cola', 0.0006459770214599653)
(u'JoeychaiJJ', 0.0006459770214599653)
(u'ohh', 0.0006459770214599653)
(u'\ufe0fokok', 0.0006459770214599653)
(u'Circle', 0.0006459770214599653)
(u'sbw', 0.0006459770214599653)
(u'MsMenstruation_', 0.0006459770214599653)
(u'Bros', 0.0006459770214599653)
(u'maple', 0.0006459770214599653)
(u'doggie', 0.0006459770214599653)
(u'crunchyass', 0.0006459770214599653)
(u'damientql', 0.0006459770214599653)
(u'cus', 0.0006459770214599653)
(u'Chips', 0.0006459770214599653)
(u'Snap', 0.0006459770214599653)
(u'\U0001f61e\U0001f61e', 0.0006459770214599653)
(u'Cuddling', 0.0006459770214599653)
(u'RidhwanAzman', 0.0006459770214599653)
(u'hommed', 0.0006459770214599653)
(u'Spend', 0.0006459770214599653)
(u'Kenjiljw_', 0.0006459770214599653)
(u'Brian_327', 0.0006459770214599653)
(u'Sad', 0.0006459770214599653)
(u'Joscia', 0.0006459770214599653)
(u'xinyi_cxy', 0.0006459770214599653)
(u'bum', 0.0006459770214599653)
(u'Instock', 0.0006459770214599653)
(u'Maple', 0.0006459770214599653)
(u'Work', 0.0006164187339980978)
(u'Annoying', 0.0006164187339980978)
(u'\U0001f60d\U0001f44c', 0.0006164187339980978)
(u'living', 0.0006164187339980978)
(u'casing', 0.0006164187339980978)
(u'Get', 0.0006164187339980978)
(u'pizza', 0.0005833753799073743)
(u'Want', 0.0005833753799073743)
(u'nose', 0.0005833753799073743)
(u'chat', 0.0005833753799073743)
(u'le', 0.0005833753799073743)
(u'Hungry', 0.0005833753799073743)
(u'ig', 0.0004861461499228119)
(u'Anyone', 0.0004861461499228119)
(u'previous', 0.0004861461499228119)
(u'wth', 0.0004861461499228119)
(u'\U0001f61e', 0.0004861461499228119)
(u'\U0001f601', 0.0004861461499228119)
(u'impossible', 0.0004861461499228119)
(u'kills', 0.0004861461499228119)
(u'hey', 0.0004861461499228119)
(u'Okay', 0.0004861461499228119)
(u'motivation', 0.0004861461499228119)
(u'convo', 0.0004861461499228119)
(u'Miss', 0.0004861461499228119)
(u'nah', 0.0004861461499228119)
(u'gg', 0.0004861461499228119)
(u'Goodnight', 0.0004861461499228119)
(u'zz', 0.0004861461499228119)
(u'//', 0.0004861461499228119)
(u'add', 0.0004861461499228119)
(u'Morning', 0.0004623140504985734)
(u'Whatsapp', 0.0004623140504985734)
(u'24/7', 0.0004623140504985734)
(u'asap', 0.0004623140504985734)
(u'sadness', 0.0004623140504985734)
(u'llao', 0.0004623140504985734)
(u'issue', 0.0004623140504985734)
(u'towards', 0.0004623140504985734)
(u'protector', 0.0004623140504985734)
(u'homework', 0.0004623140504985734)
(u'Eyes', 0.0004623140504985734)
(u'e', 0.0004623140504985734)
(u'cya', 0.0004623140504985734)
(u'limit', 0.0004623140504985734)
(u'lul', 0.0004623140504985734)
(u'bites', 0.00045151856149084035)
(u'Hair', 0.00045151856149084035)
(u'wins', 0.00045151856149084035)
(u'daniel', 0.00045151856149084035)
(u'\U0001f62b\U0001f62d', 0.00045151856149084035)
(u'rich', 0.00045151856149084035)
(u'ringo', 0.00045151856149084035)
(u'Night', 0.00045151856149084035)
(u'sushi', 0.00045151856149084035)
(u'bath', 0.00045151856149084035)
(u'ahahah', 0.00045151856149084035)
(u'\U0001f436', 0.00045151856149084035)
(u'guardian', 0.00045151856149084035)
(u'goodluck', 0.00045151856149084035)
(u'hoes', 0.00045151856149084035)
(u'cash', 0.00045151856149084035)
(u'loudest', 0.00045151856149084035)
(u'Deep', 0.00045151856149084035)
(u'roshe', 0.00045151856149084035)
(u'replies', 0.00045151856149084035)
(u'Block', 0.00045151856149084035)
(u'getaway', 0.00045151856149084035)
(u'lxstpixie', 0.00045151856149084035)
(u'_shuhuii', 0.00045151856149084035)
(u'Talk', 0.00045151856149084035)
(u'\U0001f613', 0.00045151856149084035)
(u'blackjack', 0.00045151856149084035)
(u'._', 0.00045151856149084035)
(u'Awesome', 0.00045151856149084035)
(u'priority', 0.00045151856149084035)
(u'bieber', 0.00045151856149084035)
(u'limits', 0.00045151856149084035)
(u'Hey', 0.00045151856149084035)
(u'Any', 0.00045151856149084035)
(u'risingsaints', 0.00045151856149084035)
(u'\u2014', 0.00045151856149084035)
(u'buddy', 0.0003889169199382496)
(u'lah', 0.0003889169199382496)
(u'tot', 0.0003889169199382496)
(u'\U0001f616', 0.0003889169199382496)
(u'black', 0.0003889169199382496)
(u'portable', 0.0003889169199382496)
(u'stick', 0.0003889169199382496)
(u'Woodlands', 0.0003889169199382496)
(u'\u2728', 0.0003889169199382496)
(u'attractive', 0.0003889169199382496)
(u'nvm', 0.0003889169199382496)
(u'apps', 0.0003889169199382496)
(u'Shall', 0.0003889169199382496)
(u'child', 0.00032298851072998263)
(u'//t.co/lIksc2Jy2Q', 0.00032298851072998263)
(u'//t.co/xAcTirZnf9', 0.00032298851072998263)
(u'ernerino', 0.00032298851072998263)
(u'\U0001f38a\U0001f389\U0001f381\U0001f47b', 0.00032298851072998263)
(u'louder', 0.00032298851072998263)
(u'fingers', 0.00032298851072998263)
(u'\U0001f62b\U0001f602', 0.00032298851072998263)
(u'Polyclinic', 0.00032298851072998263)
(u'//t.co/HCLFBsAIrT\u201dthis', 0.00032298851072998263)
(u'changes', 0.00032298851072998263)
(u'seanparissg', 0.00032298851072998263)
(u'hehwhe', 0.00032298851072998263)
(u'Afraid', 0.00032298851072998263)
(u'highly', 0.00032298851072998263)
(u'Mixed', 0.00032298851072998263)
(u'ZhiKaii_', 0.00032298851072998263)
(u'upzz', 0.00032298851072998263)
(u'mAc', 0.00032298851072998263)
(u'ig\u26c4\ufe0f', 0.00032298851072998263)
(u'_btrsykbr', 0.00032298851072998263)
(u'entertained', 0.00032298851072998263)
(u'\U0001f62b\U0001f62b\U0001f62bhelp', 0.00032298851072998263)
(u'stfu\U0001f612', 0.00032298851072998263)
(u'apps\u201dthis', 0.00032298851072998263)
(u'//t.co/Peoel5qZ3z', 0.00032298851072998263)
(u'//t.co/McD5VcVXn8', 0.00032298851072998263)
(u'shesha', 0.00032298851072998263)
(u'Honey-moon', 0.00032298851072998263)
(u'Anon', 0.00032298851072998263)
(u'silver', 0.00032298851072998263)
(u'Carnap', 0.00032298851072998263)
(u'//t.co/i9C339nrcy', 0.00032298851072998263)
(u'lehzzzz', 0.00032298851072998263)
(u'Medicine', 0.00032298851072998263)
(u'MeRyann__', 0.00032298851072998263)
(u'fellows', 0.00032298851072998263)
(u'cameral', 0.00032298851072998263)
(u'Hold', 0.00032298851072998263)
(u'laggg', 0.00032298851072998263)
(u'olds', 0.00032298851072998263)
(u'//t.co/3rn5DuKNRf', 0.00032298851072998263)
(u'ton', 0.00032298851072998263)
(u'dogs', 0.00032298851072998263)
(u'unbroken', 0.00032298851072998263)
(u'\U0001f38a\U0001f389\U0001f381Continue', 0.00032298851072998263)
(u'happily', 0.00032298851072998263)
(u'Hmk', 0.00032298851072998263)
(u'toufu', 0.00032298851072998263)
(u'Kennethxs', 0.00032298851072998263)
