(u'Darren_tjh', 0.038100886382838435)
(u'sheilaaa_xx', 0.023377154017944934)
(u'diyawn', 0.016015287835498188)
(u'\U0001f31d', 0.01201146587662364)
(u'_sheems_', 0.010719910406018947)
(u'leehaowei', 0.009040888294232849)
(u'thetriplejbtw', 0.00878257720011191)
(u'cammygsy', 0.008524266105990972)
(u'_giraffeeeeeeee', 0.007361866182446747)
(u'Zerickelogy', 0.006199466258902524)
(u'NEINKHAI', 0.006070310711842055)
(u'_heizo', 0.005941155164781586)
(u'ddddeenise', 0.005037066335358301)
(u'cindyxyjl', 0.0032288886765117313)
(u'kimmytinkywinky', 0.002970577582390793)
(u'jojocircus1234', 0.0027122664882698543)
(u'Darren', 0.002617999745377435)
(u'colincjw', 0.0024539553941489156)
(u'miinstletoe', 0.0021956443000279774)
(u'ouuiji', 0.0021956443000279774)
(u'whatthecal', 0.0020664887529675082)
(u'_babyboss_', 0.0020664887529675082)
(u'Tofumeimei', 0.0019373332059070389)
(u'Chellezeee', 0.0019373332059070389)
(u'J_OCELYNNNNN', 0.0016790221117861004)
(u'BenjaminCCR_', 0.0016790221117861004)
(u'yeowcarrot', 0.0016790221117861004)
(u'thatsonajat', 0.001549866564725631)
(u'joelephantt', 0.001549866564725631)
(u'Cammy', 0.001420711017665162)
(u'celnaomichong', 0.001420711017665162)
(u'Denise', 0.001420711017665162)
(u'literallykimi', 0.001420711017665162)
(u'whtemlk', 0.001420711017665162)
(u'sheisplanet', 0.0012915554706046926)
(u'Gracomm', 0.0012915554706046926)
(u'darreyyll', 0.0012915554706046926)
(u'ItsJJJbtw', 0.0012915554706046926)
(u'gerryberry__', 0.0012915554706046926)
(u'sem', 0.0011623999235442235)
(u'audreyleong13', 0.0011623999235442235)
(u'marcomm', 0.0010332443764837541)
(u'Dion', 0.0010332443764837541)
(u'boo', 0.0009930343861776476)
(u'fleursvogue', 0.0009040888294232849)
(u'Sheila', 0.0009040888294232849)
(u'Joe_The_Soul', 0.0009040888294232849)
(u'ShafinahIeenaaa', 0.0009040888294232849)
(u'bla', 0.0007749332823628155)
(u'vkf1000', 0.0007749332823628155)
(u'seokwanqs', 0.0007749332823628155)
(u'elmxr', 0.0007749332823628155)
(u'penis', 0.0007749332823628155)
(u'zberrypie', 0.0007749332823628155)
(u'nesssaaaah', 0.0007749332823628155)
(u'module', 0.0007749332823628155)
(u'Topman', 0.0007749332823628155)
(u'amazing', 0.0007387141816602513)
(u'radio', 0.0007222068263110165)
(u'bby', 0.0006778514233424505)
(u'shafxcx', 0.0006457777353023463)
(u'phase', 0.0006457777353023463)
(u'TS1989', 0.0006457777353023463)
(u'natmonsterrr', 0.0006457777353023463)
