(u'br3nd4xo', 0.013934379345030043)
(u'daintysouls', 0.010336022162106115)
(u'th', 0.007820314938537269)
(u'siaosher', 0.006398439495166856)
(u'bcos', 0.006256251950829815)
(u'rly', 0.006241344359482901)
(u'schl', 0.004834376507459403)
(u'gna', 0.0045500014187853195)
(u'shahxra', 0.00447231728168053)
(u'fuckin', 0.003839063697100114)
(u'lmfao', 0.003696876152763072)
(u'_ilikedaisies', 0.003270313519751949)
(u'iynixhot', 0.0031281259754149075)
(u'lt', 0.002439754803749344)
(u'Ahmad', 0.0022750007093926597)
(u'Ngaihongxuan', 0.0022750007093926597)
(u'Ibrahim', 0.0022750007093926597)
(u'Brenda', 0.002132813165055619)
(u'gn', 0.002132813165055619)
(u'wna', 0.002087081398117581)
(u'fuckedup', 0.0019906256207185774)
(u'Michaelxified', 0.0019906256207185774)
(u'Mr_Snowie', 0.001848438076381536)
(u'_ciggroses', 0.001706250532044495)
(u'cravin', 0.001706250532044495)
(u'lmao', 0.0016693059183548143)
(u'Northpoint', 0.001628176789430322)
(u'Shopping', 0.001628176789430322)
(u'Yishun', 0.0015901572557086331)
(u'JanOwl_', 0.0015640629877074538)
(u'BenjaminYours', 0.0015640629877074538)
(u'ayenisx', 0.0015640629877074538)
(u'plz', 0.0014907724272268435)
(u'cintaliza567', 0.0014218754433704124)
(u'everyt', 0.0014218754433704124)
(u'bestf', 0.001391387598745054)
(u'HAHAH', 0.0013268841915128012)
(u'z', 0.0012840814756575497)
(u'bc', 0.0012840814756575497)
(u'fabain', 0.0012796878990333712)
(u'fucku', 0.0012796878990333712)
(u'tmrw', 0.0012796878990333712)
(u'Vincenthui_', 0.0012796878990333712)
(u'lols', 0.0012796878990333712)
(u'cfm', 0.0012796878990333712)
(u'ep', 0.0011926179417814748)
(u'sheryl', 0.0011375003546963299)
(u'ash', 0.0011375003546963299)
(u'chi', 0.0011375003546963299)
(u'hx', 0.0011375003546963299)
(u'Secondary', 0.001085451192953548)
(u'gg', 0.0010700678963812913)
(u'brandon', 0.0009953128103592887)
(u'kdrama', 0.0009953128103592887)
(u'ChuaFabian', 0.0009953128103592887)
