(u'HIEEEEEEEEEEEE_', 0.0005494446323436249)
(u'xkisseslips_', 0.0005494446323436249)
(u'ark', 0.0005494446323436249)
(u'arcade', 0.0005494446323436249)
(u'wts', 0.0005494446323436249)
(u'whye', 0.0005494446323436249)
(u'\U0001f648', 0.0005375477746989971)
(u'alot', 0.0005375477746989971)
(u'cher', 0.0005243034247655479)
(u'holy', 0.0005243034247655479)
(u'fag', 0.0005243034247655479)
(u'kk', 0.0004961979458759973)
(u'siao', 0.0004961979458759973)
(u'liddat', 0.0004961979458759973)
(u'ily', 0.00048005664631453214)
(u'christmas', 0.00048005664631453214)
(u'aunty', 0.00048005664631453214)
(u'Orchard', 0.00048005664631453214)
(u'oi', 0.00048005664631453214)
(u'diam', 0.00048005664631453214)
(u'needa', 0.00048005664631453214)
(u'11:11', 0.00048005664631453214)
(u'laaa', 0.00048005664631453214)
(u'lwxl_', 0.00048005664631453214)
(u'HOLY', 0.00048005664631453214)
(u'wont', 0.00048005664631453214)
(u'srs', 0.00045876549666985436)
(u'\U0001f618\u201d', 0.00045876549666985436)
(u'lo', 0.00045484811705299755)
(u'\U0001f602\U0001f602\U0001f602\U0001f602\U0001f602', 0.0004134982882299978)
(u'freaking', 0.0004134982882299978)
(u'mom', 0.0004134982882299978)
(u'zzz', 0.0004134982882299978)
(u'stomach', 0.0004134982882299978)
(u'geog', 0.00041208347425771865)
(u'inkedskullsx', 0.00041208347425771865)
(u'STOMACH', 0.00041208347425771865)
(u'_VXXIII__', 0.00041208347425771865)
(u'shout', 0.00041208347425771865)
(u'WHATSAPP', 0.00041208347425771865)
(u'adelinecqy', 0.00041208347425771865)
(u'KOI', 0.00041208347425771865)
(u'ughitstyles', 0.00041208347425771865)
(u'non', 0.00041208347425771865)
(u'\U0001f62f', 0.00041208347425771865)
(u'swagbolsters', 0.00041208347425771865)
(u'turbye', 0.00041208347425771865)
(u'xmm', 0.00041208347425771865)
(u'goodmorningg', 0.00041208347425771865)
(u'RANT', 0.00041208347425771865)
(u'makan', 0.00041208347425771865)
(u'ahnlsr', 0.00041208347425771865)
(u'elene', 0.00041208347425771865)
(u'AlexLau1997', 0.00041208347425771865)
(u'CALLING', 0.00041208347425771865)
(u'muscle', 0.00041208347425771865)
(u'unreasonable', 0.00041208347425771865)
(u'McCaf\xe9', 0.00041208347425771865)
(u'moisturizer', 0.00041208347425771865)
(u'shitzz', 0.00041208347425771865)
(u'\U0001f602\U0001f602\U0001f602\U0001f602\U0001f602\U0001f602', 0.00041208347425771865)
(u'idh', 0.00041208347425771865)
(u'TQ', 0.00041208347425771865)
(u'_elyl_', 0.00041208347425771865)
(u'offend', 0.00041208347425771865)
(u'\U0001f48b\U0001f48b', 0.00041208347425771865)
(u'shouted', 0.00041208347425771865)
(u'doesnt', 0.00041208347425771865)
(u'homework', 0.00039322756857416085)
(u'recess', 0.00039322756857416085)
(u'ahahah', 0.0003840453170516257)
(u'leather', 0.0003840453170516257)
(u'fully', 0.0003840453170516257)
(u'helping', 0.0003840453170516257)
(u'forgive', 0.0003840453170516257)
(u'arrived', 0.0003840453170516257)
(u'SIAO', 0.0003840453170516257)
(u'bij', 0.0003840453170516257)
(u'itzjuzfel', 0.0003840453170516257)
(u'aiya', 0.0003840453170516257)
(u'yess', 0.0003840453170516257)
(u'vid', 0.0003840453170516257)
(u'FUNNY', 0.0003840453170516257)
(u'Sec', 0.0003840453170516257)
(u'n', 0.000372148459406998)
(u'mother', 0.000372148459406998)
(u'faster', 0.000372148459406998)
(u'\U0001f61e', 0.000372148459406998)
(u'town', 0.000372148459406998)
(u'yo', 0.000372148459406998)
(u'prob', 0.000372148459406998)
(u'nah', 0.000372148459406998)
(u'enjoy', 0.0003307986305839982)
(u'hor', 0.0003307986305839982)
(u'FOOD', 0.0003276896404784674)
(u'idek', 0.0003276896404784674)
(u'mac', 0.0003276896404784674)
(u'undergroundfox_', 0.0003276896404784674)
(u'ha', 0.00028944880176099845)
(u'WA', 0.00028944880176099845)
(u'jn', 0.00028944880176099845)
(u'fav', 0.00028944880176099845)
(u'\U0001f602\U0001f44d', 0.00028944880176099845)
(u'RLLY', 0.00028803398778871924)
(u'\U0001f60f\U0001f602', 0.00028803398778871924)
(u'\U0001f60d\U0001f60d\U0001f60d\U0001f60d\U0001f60d\U0001f60d\U0001f60d', 0.00028803398778871924)
(u'Cineleisure', 0.00028803398778871924)
(u'dc', 0.00028803398778871924)
(u'earn', 0.00028803398778871924)
(u'pity', 0.00028803398778871924)
(u'MOM', 0.00028803398778871924)
(u'pasir', 0.00028803398778871924)
(u'\U0001f60d\U0001f646', 0.00028803398778871924)
(u'LTR', 0.00028803398778871924)
(u'nb', 0.00028803398778871924)
(u'SERIOUSLY', 0.00028803398778871924)
(u'\U0001f495\u201d', 0.00028803398778871924)
(u'DOG', 0.00028803398778871924)
(u'malam', 0.00028803398778871924)
(u'arrive', 0.00028803398778871924)
(u'\U0001f63f', 0.00028803398778871924)
(u'\U0001f606', 0.00028803398778871924)
(u'dissapointed', 0.00028803398778871924)
(u'gorg', 0.00028803398778871924)
(u'angbao', 0.00028803398778871924)
(u'sci', 0.00028803398778871924)
(u'abtm', 0.00028803398778871924)
(u'pasar', 0.00028803398778871924)
(u'NVR', 0.00028803398778871924)
(u'ris', 0.00028803398778871924)
(u'products', 0.00028803398778871924)
(u'cousins', 0.00028803398778871924)
(u'tsk', 0.00028803398778871924)
(u'w/o', 0.00028803398778871924)
(u'maths', 0.00028803398778871924)
(u'LIE', 0.00028803398778871924)
(u'facial', 0.00028803398778871924)
(u'qtxxin', 0.00028803398778871924)
(u'UH', 0.00028803398778871924)
(u'revise', 0.00028803398778871924)
(u'AGN', 0.00027472231617181245)
(u'GD', 0.00027472231617181245)
(u'zzzzzz', 0.00027472231617181245)
(u'bangkok', 0.00027472231617181245)
(u'ehmepebbles', 0.00027472231617181245)
(u'\U0001f60c\U0001f609', 0.00027472231617181245)
(u'foodie', 0.00027472231617181245)
(u'IzzDanishWong', 0.00027472231617181245)
(u'laa', 0.00027472231617181245)
(u'haiya', 0.00027472231617181245)
(u'OrchardGateway', 0.00027472231617181245)
(u'BTR', 0.00027472231617181245)
(u'naggy', 0.00027472231617181245)
(u'girlf', 0.00027472231617181245)
(u'haahahha', 0.00027472231617181245)
(u'yirong', 0.00027472231617181245)
(u'IRRITATING', 0.00027472231617181245)
(u'nooo', 0.00027472231617181245)
(u'\U0001f60d\U0001f498', 0.00027472231617181245)
(u'DONUTS', 0.00027472231617181245)
(u'Keat', 0.00027472231617181245)
(u'doraemon', 0.00027472231617181245)
(u'dr', 0.00027472231617181245)
(u'graduated', 0.00027472231617181245)
(u'Hong', 0.00027472231617181245)
(u'batt', 0.00027472231617181245)
(u'ANYWAY', 0.00027472231617181245)
(u'maine', 0.00027472231617181245)
(u'RaisedByLD', 0.00027472231617181245)
(u'\U0001f4b0', 0.00027472231617181245)
(u'Whye', 0.00027472231617181245)
(u'CUPCAKES', 0.00027472231617181245)
(u'hahahaa', 0.00027472231617181245)
(u'chewgummypop', 0.00027472231617181245)
(u'11.30', 0.00027472231617181245)
(u'lsm', 0.00027472231617181245)
(u'Chu', 0.00027472231617181245)
(u'\U0001f63c', 0.00027472231617181245)
(u'\U0001f44c\U0001f61a\u201d', 0.00027472231617181245)
(u'\u2757\ufe0f', 0.00027472231617181245)
(u'\u2728\u201d', 0.00027472231617181245)
(u'buffet', 0.00027472231617181245)
(u'Steamed', 0.00027472231617181245)
(u'marts', 0.00027472231617181245)
(u'jh', 0.00027472231617181245)
(u'Kang', 0.00027472231617181245)
(u'INEZ', 0.00027472231617181245)
(u'\u263a\ufe0f\U0001f609', 0.00027472231617181245)
(u'Avenue', 0.00027472231617181245)
(u'Brickland', 0.00027472231617181245)
(u'Alexiilahor', 0.00027472231617181245)
(u'tuesday', 0.00027472231617181245)
(u'aiseh', 0.00027472231617181245)
(u'Thelastcigg_', 0.00027472231617181245)
(u'yesss', 0.00027472231617181245)
(u'booked', 0.00027472231617181245)
(u'p_aperh_earts', 0.00027472231617181245)
(u'Bun', 0.00027472231617181245)
(u'allah', 0.00027472231617181245)
